num_qubits,num_repeats,time_taken
2,10,0.005616331100463867
2,100,0.006736135482788086
3,10,0.009797096252441406
3,100,0.009015059471130371
4,10,0.011975884437561035
4,100,0.011807489395141601
5,10,0.017673754692077638
5,100,0.01562347412109375
6,10,0.018577265739440917
6,100,0.02191774845123291
7,10,0.024231791496276855
7,100,0.024963235855102538
8,10,0.03307631015777588
8,100,0.034667682647705075
9,10,0.12854385375976562
9,100,0.03800814151763916
10,10,0.05256819725036621
10,100,0.07262372970581055
